,Gene Name,log2(Fold change),P-value
565,P4HB,0.067,0.666
566,ANXA2;ANXA2P2,-0.177,0.275
567,CAPN1,-0.016,0.935
568,TUBB,-0.017,0.892
569,PSAP,-0.847,0.109
570,PFN1,-0.203,0.16
571,APRT,0.525,0.053
572,EPRS,0.133,0.364
573,CTSB,-1.673,0.0
574,HSP90AA1,-0.106,0.56
575,UQCRH,-0.014,0.944
576,FH,-0.121,0.47
577,ANXA6,0.372,0.084
578,RHOC,0.305,0.054
579,HSP90AB1,-0.149,0.277
580,ASNS,0.379,0.091
581,PDHA1,0.311,0.056
582,CYC1,-0.297,0.062
583,MYL3;MYL1,0.248,0.212
584,SNRNP70,-0.089,0.642
585,VIM,0.158,0.351
586,GNAI3,-0.398,0.039
587,ANXA5,-0.144,0.314
588,ENO2,0.192,0.402
589,GSTP1,-0.047,0.787
590,SNRPC,-0.017,0.93
591,LGALS1,0.203,0.279
592,QDPR,0.488,0.014
593,HMGB1,-0.226,0.135
594,CLTA,0.072,0.66
595,DLD,-0.044,0.836
596,SNRPA1,-0.032,0.846
597,COX6C,1.55,0.0
598,PARP1,-0.187,0.181
599,LTA4H,0.113,0.534
600,H2AFV;H2AFZ,-0.12,0.581
601,U2AF1,-0.467,0.015
602,CALM2;CALM3;CALM1,-0.183,0.213
603,TUBA3E,-0.22,0.25
604,FDX1,-0.477,0.106
605,GAA,-0.545,0.021
606,HIST1H1E,-0.263,0.118
607,TXN,-0.194,0.281
608,COX5B,-0.056,0.693
609,CTSA,0.148,0.752
610,ESD,0.147,0.456
611,HSPD1,0.021,0.88
612,HSPA5,0.427,0.024
613,HSPA8,0.036,0.809
614,SLC2A1,0.564,0.033
615,SLC2A3;SLC2A14,0.16,0.51
616,UMPS,-0.403,0.322
617,PDHB,-0.067,0.668
618,RALB;RALA,-0.157,0.251
619,LAMP1,-0.39,0.095
620,TOP2A,-0.191,0.359
621,G6PD,0.096,0.694
622,IGF2R,-0.448,0.116
623,PRPS2,-0.137,0.798
624,PCNA,-0.142,0.386
625,HARS,1.132,0.021
626,SLC25A6,-0.09,0.496
627,TPR,-0.115,0.481
628,CKB,0.553,0.009
629,ANXA3,0.381,0.159
630,CKMT1A;CKMT1B,-0.121,0.523
631,ACTN1,0.426,0.044
632,XRCC6,-0.126,0.349
633,XRCC5,-0.156,0.285
634,COX4I1,0.402,0.056
635,RNH1,-0.205,0.238
636,EEF2,0.21,0.203
637,PDIA4,0.129,0.536
638,LCP1,0.054,0.89
639,ETFA,-0.192,0.33
640,PRKAR2A,0.208,0.306
641,MTHFD2,0.135,0.435
642,MIF,-0.156,0.266
643,AKR1A1,-0.224,0.25
644,PKM,-0.183,0.294
645,HSP90B1,0.145,0.458
646,COX6B1,0.268,0.167
647,HNRNPL,-0.197,0.18
648,DARS,-0.321,0.067
649,AKR1B1,-0.021,0.901
650,GSPT1;GSPT2,-0.054,0.707
651,RPS2,0.019,0.898
652,COX7C,-0.645,0.358
653,H2AFX;HIST1H2AA,-0.169,0.393
654,CBR1,-0.137,0.52
655,HIST1H1C,-0.593,0.036
656,ATP2A2,0.04,0.807
657,STMN1,0.066,0.729
658,HSPA6;HSPA7,0.129,0.36
659,GOT1,0.016,0.909
660,CAPN2,0.069,0.732
661,PTPN2,0.531,0.153
662,PFKL,-0.311,0.423
663,TCP1,-0.101,0.433
664,PTPN1,0.017,0.896
665,RPL35A,0.157,0.34
666,RPL7,0.363,0.037
667,VCL,0.67,0.05
668,SON,-0.29,0.062
669,PGAM1;PGAM4,-0.014,0.917
670,RCC1,0.148,0.297
671,NCL,0.079,0.62
672,HK1,0.019,0.907
673,EIF2AK2,-0.423,0.059
674,SRM,-0.461,0.044
675,CSNK2A2,-0.116,0.537
676,EIF2S2,0.633,0.021
677,ANXA7,0.428,0.02
678,BTF3,-0.136,0.333
679,RAB6A;RAB6B,0.115,0.454
680,PSMB1,0.034,0.793
681,M6PR,0.514,0.042
682,COX5A,-0.284,0.066
683,LMNB1,-0.298,0.086
684,ATP6V1B2,-0.379,0.028
685,ATP6V1C1,-0.517,0.013
686,VDAC1,0.089,0.512
687,SDHB,0.205,0.342
688,TGM2,0.244,0.13
689,FBL,-0.103,0.435
690,GART,0.014,0.91
691,PAICS,0.082,0.542
692,SCP2,-0.208,0.191
693,UBA1,-0.166,0.256
694,FDXR,0.05,0.875
695,HNRNPA2B1,-0.101,0.524
696,UQCRC2,0.014,0.924
697,ITGA6,1.7,0.001
698,SFPQ,0.044,0.732
699,TUBG1;TUBG2,-0.186,0.576
700,PPIB,0.156,0.3
701,ME2,0.024,0.849
702,WARS,-0.111,0.598
703,RPS3,0.179,0.25
704,AHCY,0.144,0.32
705,CFL1,-0.08,0.549
706,DTYMK,-0.263,0.146
707,EEF1B2,0.023,0.92
708,ATP5F1,-0.223,0.234
709,MCM3,-0.178,0.356
710,RPS12,0.138,0.402
711,DNAJB1,0.696,0.143
712,ATP5A1,0.063,0.659
713,PSMA1,-0.024,0.847
714,PSMA3,-0.061,0.738
715,ITGA3,0.383,0.084
716,MSN,0.013,0.924
717,DDX6,-0.204,0.208
718,RPL13,0.451,0.015
719,HMGB2,-0.236,0.225
720,PTBP1,-0.063,0.641
721,TARS,0.181,0.191
722,VARS,0.002,0.991
723,EEF1G,0.395,0.076
724,STOM,0.585,0.018
725,AK4,0.093,0.583
726,YWHAQ,-0.13,0.433
727,RPL10,0.213,0.195
728,RPA1,0.291,0.219
729,APEX1,-0.057,0.754
730,CALR,-0.006,0.973
731,CANX,-0.417,0.161
732,PSMA5,-0.341,0.109
733,PSMB4,-0.016,0.912
734,PSMB6,0.452,0.107
735,PSMB5,0.226,0.204
736,ABCD3,0.049,0.781
737,NDUFS1,0.822,0.002
738,MAPK1,0.137,0.364
739,LAP3,-0.234,0.289
740,IMPA1,0.233,0.203
741,TKT,-0.01,0.94
742,ERP29,-0.193,0.231
743,PRDX6,-0.088,0.54
744,BLVRB,0.028,0.894
745,PRDX5,-0.181,0.345
746,PRDX3,0.102,0.548
747,ATP5D,-0.134,0.532
748,RPL12,0.3,0.078
749,ECHS1,-0.136,0.508
750,CMPK1,0.618,0.03
751,PEBP1,0.32,0.05
752,PDIA3,0.057,0.699
753,PPP2R1A,-0.178,0.239
754,PPP2R1B,-0.47,0.062
755,PPIF,0.289,0.098
756,NMT1,-0.263,0.124
757,ALDH1B1,0.253,0.095
758,SDHA,-0.15,0.341
759,MAT2A,0.142,0.467
760,DNAJA1,0.302,0.181
761,UQCRC1,0.163,0.252
762,ATIC,0.024,0.858
763,HNRNPH3,-0.129,0.34
764,YWHAB,0.051,0.685
765,SFN,0.281,0.11
766,STIP1,-0.153,0.371
767,S100A11,-0.073,0.592
768,PRDX2,-0.112,0.506
769,PYCR1,0.154,0.366
770,RPL9,0.305,0.08
771,CD70,0.227,0.721
772,KIF5B,-0.193,0.253
773,CSTF2,-0.118,0.369
774,MCM5,-0.072,0.682
775,MCM7,-0.827,0.006
776,SHMT2,0.054,0.702
777,HSPA4,-0.019,0.89
778,GPC1,-0.075,0.726
779,CTNNA1,0.246,0.287
780,PHB,0.044,0.75
781,RFC2,-0.454,0.018
782,RPL22,0.278,0.071
783,SPR,-0.253,0.117
784,MYH9,0.204,0.176
785,COPB2,0.237,0.215
786,PSMC2,-0.219,0.215
787,ATP5C1,-0.132,0.534
788,CPOX,-0.082,0.682
789,RPL4,0.234,0.115
790,DLST,-0.06,0.691
791,SRP14,-0.264,0.118
792,TAGLN2,0.092,0.522
793,TALDO1,-0.265,0.143
794,ETFB,-0.46,0.106
795,RBMX;RBMXL1,-0.233,0.396
796,ATP6V1A,-0.506,0.021
797,HSPA9,-0.01,0.935
798,EIF4A3,-0.245,0.19
799,RPS19,0.254,0.116
800,RPL3,0.099,0.518
801,FEN1,-0.095,0.533
802,TXLNA,0.346,0.084
803,CCT6A,-0.125,0.35
804,NNMT,-0.134,0.459
805,RPL13A;RPL13a,0.384,0.026
806,MDH1,-0.093,0.569
807,MDH2,-0.057,0.672
808,RFC5,-0.464,0.036
809,RFC3,-1.49,0.008
810,EIF2S3;EIF2S3L,-0.031,0.838
811,BUD31,-0.021,0.88
812,GARS,0.443,0.037
813,ECI1;DCI,0.078,0.605
814,TMPO,-0.005,0.986
815,SKIV2L2,-0.049,0.7
816,RPS27,0.107,0.633
817,LRPPRC,0.097,0.477
818,ACAA2,-0.225,0.264
819,RPL35,0.324,0.061
820,MSH2,-0.384,0.53
821,GPD2,-0.085,0.696
822,MAGEA4,-0.262,0.176
823,NAMPT,0.175,0.334
824,PSMC4,-0.223,0.253
825,VDAC2,0.177,0.228
826,CBX5,-0.393,0.041
827,USP5,-0.223,0.218
