,Gene Name,log2(Fold change),P-value
792,RAC1;RAC3,-0.159,0.577
793,AP2B1,1.159,0.007
794,YWHAZ,-0.891,0.046
795,PPP2R2A,1.394,0.015
796,DYNLL1,-1.234,0.173
797,RPL38,-1.585,0.256
798,RPS21,0.984,0.01
799,GNB2L1,0.006,0.984
800,ACTG1,0.521,0.113
801,TMSB10,-0.897,0.042
802,YBX1,-1.572,0.003
803,EEF1A1;EEF1A1P5,0.412,0.677
804,ACTA1,-1.363,0.104
805,TUBA1B;TUBA4A,-0.292,0.285
806,TUBB4B,-0.753,0.107
807,PAFAH1B2,-0.793,0.169
808,EIF4G2,0.633,0.414
809,CCT2,0.953,0.022
810,GSTO1,-0.195,0.745
811,PRKDC,0.971,0.032
812,MRPS9,2.175,0.001
813,SARNP,1.283,0.055
814,LACTB,0.432,0.142
815,ARF1;ARF3,1.486,0.085
816,ERH,-0.992,0.084
817,RBM3,-0.393,0.207
818,TFAM,0.011,0.971
819,SLC25A3,0.885,0.022
820,CLTC,0.159,0.503
821,FKBP3,0.962,0.072
822,SORD,0.978,0.041
823,HNRNPU,0.212,0.579
824,FABP5,1.019,0.149
825,CAP1,-0.153,0.56
826,HMGCS1,0.773,0.441
827,PFKP,2.011,0.001
828,RPL18A,0.09,0.701
829,FKBP4,0.522,0.073
830,RPL6,-0.207,0.472
831,LMNB2,0.836,0.044
832,GLO1,-0.624,0.1
833,YWHAH,0.627,0.21
834,CSTF1,2.239,0.003
835,SRSF11,0.683,0.063
836,PPAT,1.102,0.053
837,GFPT1,0.941,0.037
838,PSME1,0.962,0.298
839,PRDX1,-0.02,0.932
840,CKAP4,-0.465,0.122
841,KHDRBS1,2.218,0.002
842,BAX,1.247,0.057
