,Gene Name,log2(Fold change),P-value
645,GART,0.119,0.277
646,PAICS,0.14,0.202
647,SCP2,-0.613,0.002
648,UBA1,-0.34,0.023
649,FDXR,-0.566,0.115
650,HNRNPA2B1,-0.019,0.874
651,UQCRC2,0.134,0.288
652,SFPQ,0.401,0.009
653,TUBG1;TUBG2,-0.294,0.182
654,PPIB,-0.139,0.2
655,WARS,-0.285,0.049
656,RPS3,0.436,0.012
657,AHCY,0.008,0.94
658,CFL1,-0.233,0.076
659,DTYMK,-0.408,0.029
660,RRM1,0.053,0.79
661,EEF1B2,0.356,0.103
662,ATP5F1,-0.1,0.542
663,ACAT1,-0.315,0.072
664,MCM3,-0.358,0.044
665,RPS12,0.309,0.058
666,DNAJB1,0.063,0.71
667,ATP5A1,-0.025,0.824
668,PSMA1,0.093,0.381
669,PSMA3,-0.058,0.561
670,ITGA3,-0.151,0.275
671,MSN,0.158,0.184
672,DDX6,0.035,0.799
673,RPL13,0.28,0.054
674,HMGB2,-0.497,0.006
675,PTBP1,-0.038,0.732
676,TARS,0.235,0.061
677,VARS,-0.093,0.373
678,EEF1G,0.942,0.0
679,AK4,-0.032,0.844
680,YWHAQ,-0.113,0.292
681,RPL10,0.595,0.004
682,RPA1,-0.089,0.486
683,APEX1,-0.286,0.052
684,CALR,-0.409,0.009
685,CANX,-0.431,0.012
686,PSMA5,-0.017,0.919
687,PSMB4,-0.075,0.691
688,PSMB6,-0.009,0.93
689,PSMB5,0.23,0.11
690,NDUFS1,0.264,0.202
691,MAPK1,-0.165,0.221
692,LAP3,-0.258,0.137
693,IMPA1,-0.031,0.827
694,TKT,0.308,0.044
695,ERP29,-0.62,0.004
696,PRDX6,-0.165,0.205
697,BLVRB,-0.509,0.01
698,PRDX5,-0.616,0.01
699,PRDX3,-0.201,0.175
700,ATP5D,-0.135,0.585
701,RPL12,0.379,0.015
702,ECHS1,-0.467,0.034
703,CMPK1,0.099,0.413
704,PEBP1,-0.277,0.076
705,PDIA3,-0.137,0.206
706,PPP2R1A,-0.223,0.065
707,PPP2R1B,-0.156,0.509
708,PPIF,0.691,0.005
709,NMT1,-0.262,0.047
710,ALDH1B1,0.28,0.039
711,SDHA,-0.313,0.064
712,GDI1,-0.229,0.264
713,MAT2A,0.436,0.023
714,RRM2,-0.561,0.015
715,DNAJA1,0.37,0.065
