,Gene Name,log2(Fold change),P-value
779,RPS13,0.197,0.266
780,RPS11,0.247,0.109
781,SNRPE,-0.64,0.008
782,SNRPF,-0.696,0.059
783,LSM3,-0.401,0.167
784,SNRPD1,-0.454,0.025
785,SNRPD2,-0.734,0.028
786,SNRPD3,-0.203,0.182
787,PSMC6,0.077,0.786
788,RPL7A,0.319,0.057
789,ETF1,0.482,0.058
790,RPS4X,0.279,0.08
791,PPP2CA;PPP2CB,-0.301,0.06
792,RPS6,0.113,0.538
793,HIST1H4A,-0.49,0.015
794,RPL23,-0.017,0.905
795,RPS25,-0.068,0.658
796,RPS26;RPS26P11,0.167,0.271
797,RPS28,0.231,0.387
798,FAU,-0.086,0.54
799,GNB1,-0.615,0.035
800,GNB2,-0.497,0.012
801,RPL39;RPL39P5,0.253,0.215
802,RPL31,0.113,0.426
803,RPL10A,0.272,0.079
804,RPL11,0.155,0.267
805,RPL8,-0.02,0.889
806,PPIA,-0.343,0.113
807,FKBP1A;FKBP12-Exin;FKBP12-Exip2,1.717,0.135
808,RPS27A;UBC;UBB,0.635,0.303
809,RAC1;RAC3,-0.407,0.026
810,GNAS,-0.283,0.166
811,YWHAZ,-0.141,0.294
812,DYNLL1;DYNLL2,-0.616,0.047
813,RPL38,-0.1,0.602
814,RPS21,0.035,0.788
815,GNB2L1,-0.064,0.61
816,ACTG1,-0.039,0.818
817,YBX1,0.135,0.43
818,ACTC1;ACTA1,0.041,0.828
819,EEF1A1;EEF1A1P5,0.054,0.708
820,TUBA1B;TUBA4A,-0.102,0.47
821,TUBB4B,0.002,0.985
822,EIF4G2,0.234,0.194
