,Gene Name,log2(Fold change),P-value
731,ALDH1B1,0.307,0.027
732,SDHA,-0.12,0.247
733,MAT2A,0.046,0.743
734,DNAJA1,0.304,0.164
735,UQCRC1,0.141,0.183
736,ATIC,-0.144,0.182
737,HNRNPH3,-0.141,0.156
738,YWHAB,-0.04,0.645
739,SFN,0.38,0.034
740,STIP1,0.19,0.109
741,S100A11,-0.436,0.008
742,PRDX2,-0.589,0.003
743,CDA,-0.293,0.165
744,PYCR1,-0.269,0.111
745,RPL9,0.255,0.08
746,KIF5B,0.241,0.391
747,MCM5,-0.201,0.264
748,MCM7,-0.233,0.2
749,SHMT2,0.085,0.384
750,HSPA4,0.148,0.141
751,PFN2,0.107,0.399
752,PHB,-0.086,0.354
753,RPA3,-0.568,0.021
754,RFC2,-0.111,0.444
755,RPL22,0.389,0.009
756,SPR,-0.114,0.47
757,MYH9,0.266,0.055
758,COPB2,-0.038,0.745
759,PSMC2,-0.062,0.541
760,ARL2;ARL2-SNX15,-0.61,0.019
761,ARL3,-0.563,0.008
762,ATP5C1,-0.272,0.221
763,ATP6V1E1,-0.695,0.008
764,CPOX,-0.182,0.288
765,RPL4,0.123,0.211
766,DLST,-0.268,0.066
767,SRP14,-0.248,0.042
768,TAGLN2,0.059,0.549
769,TALDO1,-0.258,0.108
770,ETFB,-0.604,0.068
771,RBMX;RBMXL1,-0.223,0.425
772,ATP6V1A,-0.635,0.002
773,HSPA9,0.035,0.691
774,EIF4A3,-0.24,0.098
775,RPS19,0.39,0.014
776,RPL3,0.109,0.273
777,FEN1,-0.173,0.097
778,CCT6A,0.245,0.047
779,NNMT,-0.888,0.001
780,RPL13A;RPL13a,0.189,0.163
781,MDH1,-0.276,0.054
782,MDH2,-0.056,0.557
783,RFC5,0.332,0.393
784,EIF2S3;EIF2S3L,-0.031,0.763
785,NAA10,-0.222,0.448
786,GARS,-0.026,0.821
787,EIF1,-0.126,0.316
788,ECI1,-0.58,0.008
789,TMPO,0.527,0.182
790,SKIV2L2,0.066,0.588
791,RPS27,-0.016,0.869
792,LRPPRC,0.123,0.267
793,ACAA2,-0.7,0.018
794,RPL35,0.233,0.078
795,MSH2,-0.747,0.182
796,GPD2,-0.442,0.115
797,MAGEA4,-0.263,0.045
798,NAMPT,-0.336,0.177
799,PSMC4,0.009,0.951
800,CBX5,-0.731,0.001
801,USP5,-0.099,0.532
802,MAP2K4,0.331,0.169
803,RANGAP1,-0.048,0.691
804,RECQL,-0.313,0.034
805,NOP2,0.256,0.069
806,RPL27A,0.201,0.07
807,RPL5,0.316,0.041
808,RPL21,0.299,0.036
809,RPS9,0.396,0.015
810,RPS10;RPS10-NUDT3,0.083,0.417
811,GNPDA1,-0.905,0.0
812,YAP1,-0.528,0.012
813,IQGAP1,-0.323,0.035
814,CAPZA2,-0.106,0.682
815,CAPZB,-0.105,0.259
816,EIF1AX,-0.123,0.208
817,QARS,0.094,0.442
818,UQCRFS1;UQCRFS1P1,-0.021,0.924
819,ATP5O,0.006,0.959
820,ARCN1,-0.258,0.032
821,LSS,-0.564,0.206
822,GCLM,0.334,0.068
