,Gene Name,log2(Fold change),P-value
757,NDUFA8,0.045,0.825
758,HNRNPA3,0.011,0.938
759,HNRNPM,-0.015,0.916
760,KPNA2,-0.045,0.831
761,ARHGDIA,0.092,0.526
762,HNRNPF,-0.193,0.194
763,KIF11,-0.611,0.006
764,CAPZA1,0.054,0.745
765,NUP98,-0.783,0.01
766,SLC25A1,-0.665,0.037
767,ACLY,0.429,0.021
768,METAP1,1.373,0.001
769,SUCLG1,0.384,0.039
770,COPA,0.094,0.492
771,CTSC,-0.499,0.117
772,RARS,0.078,0.658
773,YARS,-0.332,0.111
774,BCAT1,-0.635,0.034
775,ATP1B3,-0.063,0.693
776,ALDH18A1,0.198,0.181
777,EIF5,-0.135,0.418
778,PSMD4,0.294,0.137
779,CSE1L,0.05,0.715
780,VCP,-0.004,0.974
781,HADHB,-0.199,0.19
782,ADK,0.781,0.002
783,ADAR,-0.273,0.106
784,SEC13,-0.955,0.002
785,HNRNPH2,-0.099,0.51
786,OXCT1,-0.037,0.795
787,EIF3B,-0.33,0.091
788,MARS,0.201,0.551
789,ATP5I,0.031,0.831
790,EIF6,-0.024,0.866
791,CTBP2,0.001,0.997
792,NUP107,-0.353,0.097
793,ARPC4;ARPC4-TTLL3,1.068,0.226
794,TPI1,-0.198,0.185
795,EIF3E,-0.141,0.366
796,SEC61B,0.412,0.042
797,UBE2G2,-0.285,0.109
798,ACTB,0.087,0.604
799,EIF4A1,0.003,0.984
800,RPS20,0.011,0.948
801,S100A10,-0.696,0.049
802,CDC42,-0.117,0.424
803,RAB2A,-0.391,0.03
804,RAB10,-0.442,0.061
805,UBE2K,0.674,0.113
806,RAB14,-0.588,0.007
807,ACTR3,-0.182,0.362
808,ACTR1A,-0.147,0.321
809,RAP1B;RAP1A,-0.192,0.211
810,RPS3A,0.473,0.023
811,RPL26,0.836,0.008
812,PSME3,0.175,0.42
813,MAGOH,-0.126,0.442
814,RPL27,0.811,0.013
815,RPL37A,0.24,0.126
816,RHOA,-0.144,0.332
817,HSPE1,0.001,0.997
818,B2M,-0.848,0.004
819,NUTF2,0.061,0.722
820,HNRNPK,-0.172,0.255
821,YWHAG,-0.169,0.443
