,Gene Name,log2(Fold change),P-value
690,EIF2S2,0.417,0.042
691,ANXA7,0.041,0.678
692,BTF3,-0.144,0.167
693,PSMB1,0.194,0.068
694,M6PR,-0.525,0.005
695,LMNB1,-0.298,0.031
696,ATP6V1B2,-0.459,0.007
697,ATP6V1C1,-1.096,0.002
698,ACO1,0.118,0.432
699,VDAC1,0.243,0.046
700,SDHB,0.186,0.534
701,TGM2,0.71,0.002
702,FBL,0.334,0.015
703,GART,-0.019,0.826
704,PAICS,0.297,0.022
705,SCP2,-0.54,0.004
706,UBA1,-0.306,0.024
707,FDXR,-0.724,0.06
708,HNRNPA2B1,0.104,0.31
709,UQCRC2,-0.054,0.629
710,ITGA6,1.632,0.0
711,SFPQ,0.424,0.006
712,TUBG1;TUBG2,-0.109,0.596
713,PPIB,-0.226,0.058
714,WARS,-0.409,0.008
715,RPS3,0.514,0.006
716,AHCY,0.191,0.121
717,CFL1,-0.085,0.402
718,DTYMK,-0.243,0.056
719,RRM1,0.373,0.125
720,EEF1B2,0.452,0.057
721,ATP5F1,0.056,0.584
722,ACP1,0.137,0.195
723,ACAT1,-0.383,0.048
724,MCM3,-0.142,0.342
725,RPS12,0.293,0.067
726,DNAJB1,0.147,0.246
727,ATP5A1,0.04,0.682
728,PSMA1,0.28,0.023
729,PSMA3,0.19,0.072
730,ITGA3,0.02,0.866
731,MSN,0.227,0.05
732,DDX6,-0.089,0.455
733,RPL13,0.353,0.011
734,HMGB2,-0.289,0.047
735,PTBP1,0.152,0.166
736,TARS,0.268,0.031
737,VARS,0.156,0.122
738,EEF1G,0.756,0.001
739,AK4,0.035,0.803
740,YWHAQ,-0.142,0.184
741,MAPK3,-0.498,0.163
742,RPL10,0.418,0.016
743,RPA1,-0.027,0.812
744,APEX1,-0.354,0.012
745,CALR,-0.672,0.002
746,CANX,-0.297,0.173
747,PSMB8;PSM8,-0.597,0.017
748,PSMA5,0.133,0.473
749,PSMB4,0.192,0.144
750,PSMB6,0.348,0.013
751,PSMB5,0.64,0.002
752,NDUFS1,-0.181,0.176
753,MAPK1,-0.283,0.053
754,LAP3,-0.14,0.362
755,IMPA1,0.067,0.633
756,TKT,0.249,0.058
757,ERP29,-0.604,0.004
758,PRDX6,-0.172,0.159
759,BLVRB,-0.704,0.003
760,PRDX5,-0.671,0.014
761,PRDX3,0.115,0.35
762,ATP5D,-0.136,0.47
763,RPL12,0.49,0.004
764,ECHS1,-0.368,0.059
765,CMPK1,0.217,0.167
766,PEBP1,-0.307,0.019
767,PDIA3,-0.263,0.037
768,PPP2R1A,-0.409,0.007
769,PPP2R1B,-0.174,0.17
770,PPIF,0.664,0.006
771,NMT1,-0.105,0.349
772,ALDH1B1,0.157,0.124
773,SDHA,-0.292,0.028
774,GDI1,0.133,0.468
775,MAT2A,0.024,0.87
776,RRM2,-0.978,0.007
777,DNAJA1,0.131,0.401
778,UQCRC1,-0.105,0.296
779,ATIC,-0.087,0.369
780,HNRNPH3,-0.07,0.495
781,YWHAB,0.063,0.583
782,SFN,0.228,0.141
783,STIP1,0.16,0.156
784,S100A11,-0.318,0.025
785,PRDX2,-0.693,0.001
786,CDA,-0.101,0.594
787,PYCR1,-0.191,0.219
788,RPL9,0.318,0.041
789,KIF5B,-0.24,0.223
790,MCM7,-0.203,0.223
791,SHMT2,0.035,0.723
792,HSPA4,0.133,0.169
793,CTNNA1,-0.705,0.292
794,PHB,0.199,0.069
795,RPA3,-0.411,0.013
796,RFC2,-0.182,0.087
797,RPL22,0.418,0.007
798,SPR,-0.432,0.005
799,MYH9,0.284,0.041
800,COPB2,0.05,0.637
801,PSMC2,0.016,0.858
802,ARL3,-0.646,0.004
803,ATP5C1,-0.12,0.546
804,CPOX,-0.137,0.353
805,RPL4,0.241,0.043
806,GNL1,-0.139,0.611
807,DLST,-0.265,0.064
808,SRP14,-0.25,0.057
809,TAGLN2,0.196,0.105
810,TALDO1,-0.307,0.062
811,ETFB,-0.674,0.023
812,RBMX;RBMXL1,0.148,0.344
813,ATP6V1A,-0.575,0.003
814,HSPA9,0.014,0.875
815,EIF4A3,-0.122,0.331
816,RPS19,0.497,0.006
817,RPL3,0.247,0.036
818,FEN1,-0.222,0.048
819,CCT6A,0.307,0.021
820,NNMT,-0.677,0.002
821,RPL13A;RPL13a,0.398,0.009
822,MDH1,-0.496,0.006
823,MDH2,-0.082,0.387
824,RFC3,-1.703,0.003
825,EIF2S3;EIF2S3L,-0.001,0.988
826,NAA10,-0.308,0.274
827,GARS,0.047,0.661
828,IARS,-0.006,0.942
829,ECI1;DCI,-0.919,0.0
