,Gene Name,log2(Fold change),P-value
531,ANXA2;ANXA2P2,0.011,0.934
532,CAPN1,-0.311,0.11
533,TUBB,0.066,0.523
534,PSAP,-1.097,0.054
535,PFN1,-0.26,0.046
536,APRT,-0.24,0.28
537,EPRS,-0.168,0.156
538,CTSB,-1.868,0.0
539,HSP90AA1,0.435,0.027
540,UQCRH;UQCRHL,0.169,0.145
541,FH,-0.063,0.622
542,ANXA6,0.109,0.537
543,RHOC;RHOA,-0.001,0.992
544,HSP90AB1,0.161,0.159
545,ASNS,-0.643,0.024
546,PDHA1,-0.071,0.518
547,CYC1,-0.207,0.09
548,SNRNP70,-0.03,0.871
549,VIM,0.348,0.026
550,ANXA5,0.002,0.985
551,ENO2,-0.507,0.011
552,GSTP1,-0.08,0.622
553,SNRPC,-0.192,0.334
554,LGALS1,-0.008,0.954
555,QDPR,0.034,0.747
556,HMGB1,-0.18,0.134
557,CLTA,-0.121,0.298
558,ANXA4,-0.105,0.605
559,DLD,-0.246,0.054
560,SNRPA1,0.057,0.736
561,PARP1,-0.308,0.051
562,LTA4H,0.079,0.476
563,H2AFV;H2AFZ,-0.345,0.062
564,UQCRFS1;UQCRFS1P1,0.439,0.09
565,U2AF1;U2AF1L4,-0.1,0.38
566,CALM2;CALM3;CALM1,-0.054,0.631
567,TUBA3E,-0.001,0.993
568,FDX1,-0.949,0.008
569,GAA,-1.212,0.001
570,HIST1H1E;HIST1H1D,-0.538,0.008
571,TXN,-0.058,0.705
572,COX5B,0.064,0.601
573,CTSA,-0.497,0.437
574,PRKAR1A,-1.703,0.076
575,ESD,0.038,0.81
576,HSPD1,0.427,0.012
577,HSPA5,0.068,0.515
578,HSPA8,0.486,0.01
579,UMPS,0.271,0.052
580,PDHB,-0.216,0.217
581,RALB;RALA,0.097,0.581
582,LAMP1,-0.221,0.209
583,TOP2A,-0.042,0.708
584,G6PD,-0.292,0.211
585,ADH5,-0.03,0.854
586,PCNA,-0.236,0.152
587,HARS,0.209,0.353
588,SLC25A6,0.033,0.75
589,IMPDH2,0.249,0.065
590,TPR,0.051,0.64
591,CKB,0.33,0.044
592,ANXA3,0.105,0.75
593,CKMT1A;CKMT1B,-0.388,0.028
594,ACTN1,0.412,0.04
595,XRCC6,-0.047,0.654
596,XRCC5,-0.255,0.072
597,COX4I1,0.821,0.03
598,RNH1,-0.463,0.019
599,EEF2,0.403,0.014
600,PDIA4,-0.313,0.179
601,LCP1,0.258,0.473
602,ETFA,-0.257,0.077
603,PRKAR2A,0.373,0.095
604,MTHFD2,-0.036,0.826
605,MIF,-0.442,0.009
606,FDPS,-0.225,0.251
607,AKR1A1,-0.654,0.01
608,PKM,-0.139,0.246
609,HSP90B1,-0.188,0.125
610,COX6B1,0.134,0.226
611,DARS,-0.199,0.134
612,UQCRB,0.267,0.058
613,AKR1B1,-0.188,0.115
614,GSPT1;GSPT2,-0.017,0.888
615,RPS2,0.251,0.054
616,RPA2,-0.374,0.216
617,H2AFX;HIST1H2AA,-0.153,0.431
618,CBR1,-0.355,0.031
619,HIST1H1C,-0.745,0.006
620,STMN1,-0.383,0.107
621,HSPA6;HSPA7,0.488,0.011
622,HMGA1,0.08,0.66
623,GOT1,-0.094,0.436
624,CAPN2,0.076,0.686
625,PTPN2,-0.034,0.87
626,TCP1,0.327,0.022
627,RPL35A,-0.044,0.766
628,RPL7,0.282,0.051
629,VCL,0.667,0.044
630,SON,-0.29,0.04
631,PGAM1;PGAM4,0.095,0.427
632,NCL,0.165,0.266
633,HK1,-0.016,0.918
634,EIF2AK2,-0.659,0.007
635,SRM,-0.563,0.003
636,CSNK2A2,-0.098,0.778
637,EIF2S2,0.353,0.06
638,ANXA7,0.074,0.574
639,BTF3,-0.074,0.503
640,PSMB1,0.091,0.394
641,M6PR,-0.709,0.003
642,LMNB1,-0.246,0.077
643,ATP6V1B2,-0.259,0.061
644,ACO1,0.178,0.264
645,VDAC1,0.146,0.223
646,SDHB,0.015,0.956
647,TGM2,0.281,0.053
648,GART,0.058,0.576
649,PAICS,0.274,0.052
650,SCP2,-0.627,0.002
651,UBA1,-0.327,0.03
652,FDXR,-0.29,0.366
653,HNRNPA2B1,0.088,0.442
654,UQCRC2,0.135,0.311
655,SFPQ,0.395,0.011
656,TUBG1;TUBG2,-0.083,0.776
657,PPIB,-0.186,0.122
658,WARS,-0.357,0.021
659,RPS3,0.318,0.04
660,AHCY,0.014,0.901
661,CFL1,-0.188,0.134
662,DTYMK,-0.191,0.278
663,RRM1,0.221,0.408
664,EEF1B2,0.13,0.484
665,ATP5F1,-0.219,0.08
666,ACP1,-0.012,0.924
667,MCM3,-0.068,0.65
668,RPS12,0.303,0.068
669,DNAJB1,-0.136,0.323
670,ATP5A1,0.056,0.622
671,PSMA1,0.195,0.102
672,PSMA3,0.027,0.796
673,ITGA3,0.23,0.13
674,MSN,0.051,0.622
675,DDX6,0.235,0.201
676,RPL13,0.316,0.035
677,HMGB2,-0.338,0.028
678,PTBP1,0.048,0.673
679,TARS,0.009,0.928
680,VARS,0.3,0.037
681,EEF1G,0.681,0.001
682,AK4,0.315,0.161
683,YWHAQ,0.023,0.829
684,RPL10,0.526,0.007
685,RPA1,-0.069,0.632
686,APEX1,0.038,0.708
687,CALR,-0.517,0.004
688,CANX,-0.107,0.332
689,PSMB8;PSM8,-0.508,0.048
690,PSMA5,-0.084,0.655
691,PSMB4,-0.008,0.946
692,PSMB6,0.14,0.224
693,PSMB5,0.364,0.026
694,NDUFS1,0.133,0.444
695,MAPK1,0.097,0.46
696,LAP3,-0.345,0.064
697,IMPA1,-0.225,0.16
698,TKT,0.216,0.113
699,ERP29,-0.568,0.006
700,PRDX6,-0.026,0.826
701,BLVRB,-0.551,0.008
702,PRDX5,-0.566,0.012
703,PRDX3,-0.028,0.835
704,RPL12,0.325,0.026
705,ECHS1,-0.012,0.939
706,CMPK1,0.216,0.165
707,PEBP1,-0.192,0.186
708,PDIA3,-0.242,0.057
709,PPP2R1A,-0.297,0.032
710,PPP2R1B,0.502,0.38
711,PPIF,0.475,0.02
712,NMT1,0.101,0.626
713,ADSS,-0.072,0.716
714,ALDH1B1,0.403,0.011
715,SDHA,-0.252,0.069
716,GDI1,0.026,0.901
717,MAT2A,0.233,0.147
718,RRM2,-0.786,0.01
719,DNAJA1,0.388,0.05
720,UQCRC1,0.093,0.408
721,ATIC,-0.069,0.516
722,HNRNPH3,-0.135,0.31
723,YWHAB,-0.018,0.879
724,SFN,0.457,0.023
725,STIP1,0.1,0.4
726,S100A11,-0.351,0.018
727,PRDX2,-0.579,0.005
728,CDA,-0.497,0.054
729,PYCR1,-0.317,0.07
730,RPL9,0.288,0.061
731,KIF5B,-0.225,0.167
732,CKS2,0.123,0.612
733,MCM7,-0.387,0.046
734,SHMT2,0.005,0.968
