,Gene Name,log2(Fold change),P-value
796,RPS4X,0.905,0.016
797,PPP2CA;PPP2CB,-0.538,0.058
798,RPS6,0.938,0.011
799,HIST1H4A,-2.448,0.0
800,RPL23,-0.263,0.276
801,RPS25,-0.287,0.478
802,RPS26,-0.078,0.77
803,RPS28,0.119,0.621
804,GNB1,0.077,0.845
805,GNB2,0.755,0.234
806,RPL39;RPL39P5,-1.233,0.113
807,RPL31,1.449,0.002
808,RPL10A,0.253,0.432
809,RPL11,-0.369,0.149
810,RPL8,-0.432,0.16
811,PPIA,-0.759,0.036
812,FKBP1A,0.46,0.126
813,RPS27A;UBC;UBB;UBA52,-1.216,0.1
814,RAC1,0.018,0.963
815,AP2B1,1.376,0.004
816,YWHAZ,-0.207,0.374
817,PPP2R2A,1.662,0.009
818,DYNLL1;DYNLL2,-0.774,0.141
819,RPL38,0.307,0.51
820,RPS21,1.723,0.017
821,GNB2L1,-0.239,0.384
822,ACTG1,0.24,0.522
823,TMSB10,-0.359,0.278
824,YBX1,0.509,0.224
825,ACTC1;ACTA1,-0.875,0.055
826,EEF1A1;EEF1A1P5,-0.375,0.276
827,TUBA1B;TUBA4A,-0.664,0.041
828,TUBB4B,-0.337,0.179
829,PAFAH1B2,-1.384,0.003
830,HIST1H3A;H3F3A;HIST2H3A;H3F3B;HIST3H3;H3F3C,-2.188,0.0
831,EIF4G2,0.086,0.791
832,CCT2,0.875,0.013
833,RAE1,3.555,0.0
